4836;4World - Cleaning foam;1.41;1.71;1.21;;1;4836
6647;4World - Cleaning wipes;1.79;2.17;;;2084;6647
30320;Defender OPTIMA CLN 30320 - Cleaning wipes - white;1.89;2.29;;;2085;30320
30322;Defender Optima CLN 30322 - Cleaning wipes;1.29;1.56;;;2086;30322
30598;Defender OPTIMA CLN 30598 - Screen cleaning spray;2.99;3.62;;;2087;30598
43214;InLine - Display wet / dry cleaning tissue;30.07;36.38;;;2088;43214
44003;Exponent - Printer / monitor stand - black;39.03;47.23;;;2089;44003
50804;Exponent - Monitor arm;61.69;74.64;;;2090;50804
67658;Esselte - Screen cleaning spray;15.84;19.17;;;2091;67658
83734;Hama - Screen cleaning spray (pack of 12);4.56;5.52;;;2092;83734
84416;Hama Touch Screen Cleaner - Screen cleaning kit;4.56;5.52;;;2093;84416
95863;Hama - Screen cleaning kit (pack of 24);2.21;2.67;;;2094;95863
900003;"PORT Professional - Display privacy filter - 14""";27.61;33.41;;;2095;900003
900200;"PORT Professional - Display privacy filter - 17""";35.6;43.08;;;2096;900200
900206;"PORT Professional - Display privacy filter - 21.5"" wide";67.51;81.69;;;2097;900206
900208;"PORT Professional - Display privacy filter - 21.5"" - black";67.51;81.69;;;2098;900208
900209;"PORT Professional - Display privacy filter - 23.9"" wide";79.78;96.53;;;2099;900209
900214;"PORT Professional - Display privacy filter - 23"" - black";79.78;96.53;;;2100;900214
900218;"PORT - Display privacy filter - 24""";85.91;103.95;;;2101;900218
900235;"PORT Professional - Display privacy filter - 14"" - black";29.45;35.63;;;2102;900235
3030007;"Wortmann TERRA 2456W - GREENLINE PLUS - LED monitor - 23.6"" - 1920 x 1080 Full HD (1080p) - ADS-IPS - 250 cd/m2 - 5 ms - HDMI, DVI-D, VGA - speakers - matte black";199.83;241.79;;;2103;3030007
3030008;"Wortmann TERRA 2456W PV - GREENLINE PLUS - LED monitor - 23.8"" - 1920 x 1080 Full HD (1080p) - ADS-IPS - 250 cd/m2 - 5 ms - HDMI, DVI-D, DisplayPort - speakers - matte black";234.27;283.47;;;2104;3030008
3030011;"Wortmann TERRA 2766W PV - GREENLINE PLUS - LED monitor - 27"" - 2560 x 1440 WQHD - AH-IPS - 350 cd/m2 - 5 ms - HDMI, DVI, DisplayPort - speakers - matte black";507.63;614.23;;;2083;3030011
3030013;"Wortmann TERRA 2462W PV - GREENLINE PLUS - LED monitor - 23.8"" - 1920 x 1080 Full HD (1080p) - A-MVA - 250 cd/m2 - 3000:1 - 4 ms - HDMI, DVI, DisplayPort - speakers - silver, matte black";234.27;283.47;;;2082;3030013
3030020;"Wortmann TERRA 2226W - GREENLINE PLUS - LED monitor - 21.5"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - MVA - 250 cd/m2 - 5 ms - HDMI, VGA - speakers - matte black";122.89;148.7;;;2081;3030020
3031195;"Wortmann TERRA 2230W - GREENLINE PLUS - LED monitor - 22"" - 1680 x 1050 - 250 cd/m2 - 5 ms - DVI, VGA - speakers - black, silver";183.64;222.2;;;2069;3031195
3031203;"Wortmann TERRA 1940HA - LED monitor - 19"" (19"" viewable) - 1280 x 1024 - TN - 250 cd/m2 - 5 ms - DVI-D, VGA - speakers - black, silver";179.59;217.3;;;2060;3031203
