LS22E45UDWG/EN;"Samsung SE450 Series S22E450DW - LED monitor - 22"" - 1680 x 1050 - TN - 250 cd/mz - 1000:1 - 5 ms - DVI. VGA. DisplayPort - black";139.76;1.21
1FH46AA#ABB;"HP EliteDisplay E233 - LED monitor - 23"" - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - HDMI. VGA. DisplayPort";179.94;
210-AJEG;"Dell P2317H - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 6 ms - HDMI. VGA. DisplayPort";152.41;
210-AOMV;"Dell UltraSharp U2414H - LED monitor - 24"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 8 ms - 2xHDMI (MHL). DisplayPort. Mini DisplayPort - black";183.36;
LS27H650FDUXEN;"Samsung SH65 Series S27H650FDU - LED monitor - 27"" - 1920 x 1080 Full HD (1080p) - Plane to Line Switching (PLS) - 250 cd/mz - 1000:1 - 5 ms - HDMI. VGA. DisplayPort - black";222.89;
210-AJEX;"Dell P2417H - LED monitor - 24"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 6 ms - HDMI. VGA. DisplayPort - black";167.27;
210-AFZR;"Dell SE2216H - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - VA - 250 cd/mz - 3000:1 - 12 ms - HDMI. VGA";93.46;
LS24E45UFS/EN;"Samsung SE450 Series S24E450F - LED monitor - 24"" - 1920 x 1080 Full HD (1080p) - TN - 250 cd/mz - 1000:1 - 5 ms - HDMI. DVI-I. VGA - black";148.55;
243V5LHSB5/00;"Philips V-line 243V5LHSB5 - LED monitor - 24"" (23.6"" viewable) - 1920 x 1080 Full HD (1080p) - 250 cd/mz - 1000:1 - 1 ms - HDMI. DVI-D. VGA - black hairline. black textured back cover";99.94;
VA2407H-EU;"ViewSonic VA2407H - LED monitor - 24"" (23.6"" viewable) - 1920 x 1080 Full HD (1080p) - TN - 250 cd/mz - 1000:1 - 5 ms - HDMI. VGA";151.87;
1FH47AA#ABB;"HP EliteDisplay E243 - LED monitor - 23.8"" - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - HDMI. VGA. DisplayPort";194.89;
210-AGYH;"Dell UltraSharp U2412M - LED monitor - 24"" (24"" viewable) - 1920 x 1200 - IPS - 300 cd/mz - 1000:1 - 8 ms - DVI-D. VGA. DisplayPort - black";193.98;
210-AMRRSO;"SALE OUT. Dell LCD U2518D 63.5cm (25"")QHD/LED/Antiglare/16:9/2560x1440/350cdm2/5ms/178-178/DP.mDP HDMI. USB/Tilt.VESA/Black Dell U2518D 25 "". IPS. QHD. 2560 x 1440 pixels. 16:9. 5 ms. 350 cd/mz. Black. DEMO";253.01;
223V7QHSB/00;"Philips V-line 223V7QHSB - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - HDMI. VGA - black";99.94;
VX2457-MHD-EU;"ViewSonic VX2457-mhd - LED monitor - 24"" (23.6"" viewable) - 1920 x 1080 Full HD (1080p) - TN - 300 cd/mz - 1000:1 - 1 ms - HDMI. VGA. DisplayPort - speakers";196.27;
e2270Swn;"AOC E2270SWN - LED monitor - 21.5"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - 200 cd/mz - 5 ms - VGA - black";82.23;
LS27H850QFUXEN;"Samsung SH85 Series S27H850QFU - LED monitor - 27"" (26.9"" viewable) - 2560 x 1440 - Plane to Line Switching (PLS) - 350 cd/mz - 1000:1 - 4 ms - HDMI. DisplayPort - black";373.49;
210-AJXQ_5Y;"Dell E2417H 23.8 "". IPS. FHD. 1920 x 1080 pixels. 16:9. 8 ms. 250 cd/mz. Black. Warranty 60 month(s)";137.35;
210-AHJK;"Dell UltraSharp U2417H - LED monitor - 23.8"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 6 ms - HDMI (MHL). DisplayPort. Mini DisplayPort - black";218.07;
210-AMRR;"Dell UltraSharp U2518D - LED monitor - 25"" (25"" viewable) - 2560 x 1440 QHD - IPS - 350 cd/mz - 1000:1 - 5 ms - HDMI. DisplayPort. Mini DisplayPort";293.3;
61A9MAT1EU;"Lenovo ThinkVision T22i-10 - LED monitor - 21.5"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 4 ms - HDMI. VGA. DisplayPort - black";172.65;
0A61769;"3M PF14.0W - Notebook privacy filter - 14"" - for ThinkPad A475; E470; E480; L460; L470; L480; T25; T460; T470; T480; X1 Carbon; X1 Yoga";54.95;
ASF23W9EU;"Targus Privacy Screen 23"" Widescreen (16:9) - Display privacy filter - 23"" wide - black. transparent - for Dell P2312H. S2330MX. ST2320L; Professional P2312H; UltraSharp U2312HM";122.62;
10QYPAT1EU;"Lenovo ThinkCentre Tiny-in-One 24 - Gen 3 - LED monitor - 23.8"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 4 ms - DisplayPort - speakers - black";227.35;
RP0003;LogiLink - Cleaning wipes;3.03;
ASF22W9EU;"Targus Privacy Screen 22"" Widescreen (16:9) - Display privacy filter - 22"" wide - transparent - for Dell E2210C. E2311H";100.01;
M1P02AA#ABB;"HP EliteDisplay E242 - LED monitor - 24"" - 1920 x 1200 - IPS - 250 cd/mz - 1000:1 - 7 ms - HDMI. VGA. DisplayPort - black";266.81;
M2470SWH;"AOC Value M2470SWH - LED monitor - 23.6"" (23.6"" viewable) - 1920 x 1080 Full HD (1080p) - MVA - 250 cd/mz - 1000:1 - 5 ms - 2xHDMI. VGA - speakers - black";101.47;
22MP48D-P/EU;"LG 22MP48D-P - LED monitor - 21.5"" - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - DVI-D. VGA - glossy black with textured back cover";81.93;
243V5LHAB5/00;"Philips V-line 243V5LHAB5 - LED monitor - 24"" (23.6"" viewable) - 1920 x 1080 Full HD (1080p) - 250 cd/mz - 1000:1 - 1 ms - HDMI. DVI-D. VGA - speakers - black hairline. black textured back cover";100.58;
210-AJCG;"Dell P2217 - LED monitor - 22"" (22"" viewable) - 1680 x 1050 - TN - 250 cd/mz - 1000:1 - 5 ms - HDMI. VGA. DisplayPort";145.78;
27MP38VQ-B.AEU;"LG 27MP38VQ-B - LED monitor - 27"" - 1920 x 1080 Full HD (1080p) - IPS - 200 cd/mz - 1000:1 - 5 ms - HDMI. DVI. VGA";154.84;
E2275SWQE;"AOC 75 series E2275SWQE - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - TN - 20000000:1 - 5 ms - HDMI. VGA. DisplayPort - black";104.33;
223V5LSB2/10;"Philips V-line 223V5LSB2 - LED monitor - 21.5"" - 1920 x 1080 Full HD (1080p) - 200 cd/mz - 600:1 - 5 ms - VGA - textured black. black hairline";75.9;
I2080SW;"AOC Value i2080Sw - LED monitor - 19.5"" - 1440 x 900 - IPS - 250 cd/mz - 1000:1 - 5 ms - VGA";70.31;
AG241QX;"AOC Gaming AGON series AG241QX - LED monitor - 24"" (23.8"" viewable) - 2560 x 1440 - TN - 350 cd/mz - 1000:1 - 1 ms - HDMI. DVI-D. VGA. DisplayPort - speakers";341.8;
9H.LC8LA.TBE;"BenQ GL2760H - LED monitor - 27"" (27"" viewable) - 1920 x 1080 Full HD (1080p) - TN - 300 cd/mz - 1000:1 - 2 ms - HDMI. DVI-D. VGA - glossy black";177.84;
9472302;Fellowes I-Spire Series - Monitor stand - grey. black;24.19;
234E5QHAW/00;"Philips 234E5QHAW - LED monitor - 23"" - 1920 x 1080 Full HD (1080p) - AH-IPS - 250 cd/mz - 1000:1 - 5 ms - 2xHDMI. VGA - speakers - glossy white";122.71;
TRASRO42097;Tracer LCD Foam - Cleaning foam;2.3;
210-AJDQ;"Dell P2217H - LED monitor - 22"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 6 ms - HDMI. VGA. DisplayPort";136.69;
SC-19AH;"Neovo SC-19AH - LED monitor - 19"" - 1280 x 1024 SXGA - 250 cd/mz - 1000:1 - 5 ms - HDMI. VGA. BNC. S-Video - speakers";237.35;
I2369VM;"AOC Value i2369Vm - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 6 ms - 2xHDMI. VGA. DisplayPort - speakers";118.11;
60004021;"NEC MultiSync E436 - 43"" Class (43"" viewable) - E Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - direct-lit LED - black";640.91;
LH65QMHPLGC/EN;"Samsung QM65H - 65"" Class - QMH Series LED display - digital signage - 4K UHD (2160p) 3840 x 2160 - edge-lit";1.988.25;
